ID,Type,SKU,Name,Published,Is featured?,Visibility in catalogue,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position
33,simple,,Haagen Lager 15x330ml,1,0,visible,Haagen is an award-winning German-styled award premium lager made with natural New Zealand ingredients to create a crisp and refreshing beer for all occasions.,,,,taxable,,1,,,0,0,,,,,0,,,23.99,Beer,,,http://localhost/liquorhutotahuhu/wp-content/uploads/2020/12/Screen-Shot-2020-04-09-at-4.21.46-PM.png,,,,,,,,,0
34,simple,,NZ Pure 12x330ml,1,0,visible,"NZ PURE is a premium, naturally brewed 5% lager that contains no additives or preservatives. NZ PURE – Purify your world.",,,,taxable,,1,,,0,0,,,,,0,,,21.99,Beer,,,http://localhost/liquorhutotahuhu/wp-content/uploads/2020/12/Screen-Shot-2020-04-09-at-4.25.14-PM.png,,,,,,,,,0
35,simple,,Gordons G&T 12x250ml Cans,1,0,visible,A blend of Gordon's and tonic.,,,,taxable,,1,,,0,0,,,,,0,,,25.99,RTD's,,,http://localhost/liquorhutotahuhu/wp-content/uploads/2020/12/gordonsgt_12pk_250ml.jpg,,,,,,,,,0
36,simple,,Smirnoff Double Black 12x250ml Cans,1,0,visible,Smirnoff Ice is the world's largest ready-to-drink vodka brand,,,,taxable,,1,,,0,0,,,,,0,,,27.99,RTD's,,,http://localhost/liquorhutotahuhu/wp-content/uploads/2020/12/974373-SmirnoffDoubleBlack7_12x250mlCan.jpg,,,,,,,,,0
37,simple,,Smirnoff Ice 12x250ml Cans,1,0,visible,The refreshing citrus flavoured premium vodka beverage that started it all.,,,,taxable,,1,,,0,0,,,,,0,,,23.99,RTD's,,,http://localhost/liquorhutotahuhu/wp-content/uploads/2020/12/974372-SmirnoffRed5_12x250mlCan.jpg,,,,,,,,,0
38,simple,,Smirnoff 1 litre,1,0,visible,The world's number one international vodka brand,,,,taxable,,1,,,0,0,,,,,0,,39.99,41.99,"Spirits, Vodka",,,http://localhost/liquorhutotahuhu/wp-content/uploads/2020/12/904821-SmirnoffRed1L.jpg,,,,,,,,,0
39,simple,,Appleton Estate Rum 1 litre,1,0,visible,Full bodied rum with medium sweetness,,,,taxable,,1,,,0,0,,,,,0,,,54.99,"Rum, Spirits",,,http://localhost/liquorhutotahuhu/wp-content/uploads/2020/12/968544-AppletonEstateSignatureBlend1L.jpg,,,,,,,,,0
40,simple,,Bacardi White 1 litre,1,0,visible,"Pure and rounded, with a hint of charry oak",,,,taxable,,1,,,0,0,,,,,0,,42.99,45,"Rum, Spirits",,,http://localhost/liquorhutotahuhu/wp-content/uploads/2020/12/bacardi_cartablanca_1l_800x800.jpg,,,,,,,,,0
44,simple,,Coruba Original 1 litre,1,0,visible,Coruba Jamaica Rum is proud to be 100% natural and 100% Jamaican.,,,,taxable,,1,,,0,0,,,,,0,,,44.99,"Rum, Spirits",,,http://localhost/liquorhutotahuhu/wp-content/uploads/2020/12/968675-CorubaOriginal1L.jpg,,,,,,,,,0
45,simple,,Johnnie Walker Black 1 litre,1,0,visible,Created using only whiskies aged for a minimum of 12 years from the four corners of Scotland,,,,taxable,,1,,,0,0,,,,,0,,,64.99,"Spirits, Whiskey",,,http://localhost/liquorhutotahuhu/wp-content/uploads/2020/12/johnnie_walk_blck_1l_bt12_ls_1_.jpg,,,,,,,,,0
